Unnamed: 0,箱番号,サンプル番号,連番,サンプル名,サンプル名推測,メモ日付,メモ人名（ご依頼者）,メモ1,メモ2,番号A1,番号A2,番号A3,番号A,番号B1,番号B2,番号B3,番号B4,番号B,日付,個数,計測値C(g),計測値B,計測値A(%),備考
,3,38.0,46,サンプル0029,,,,,サンプル1923,20230908,1.0,H0024,202301011203H1203,,,,, ,20230908,1124.1,23.06,21.0569729361686,13.9,note_D
,3,39.0,47,サンプル0030,,,,,,20230907,1.0,H0021,202301011204H1204,,,,, ,20230907,1024.5,23.4,20.9436415026318,14.3,
,3,40.0,48,サンプル0031,,,,,,20230912,1.0,H0028,202301011205H1205,,,,, ,20230912,1016.6,25.58,20.5754917608994,14.0,
,3,41.0,49,サンプル0032,,,,,,20230905,1.0,H0016,202301011206H1206,,,,, ,20230905,1165.8,21.93,21.9230613912364,15.9,
,3,46.0,50,サンプル0033,,,,,,20230912,1.0,H0026,202301011207H1207,,,,, ,20230912,968.9,23.12,22.782368901798,13.8,
,3,9.0,51,サンプル0034,,,,,,20230920,1.0,H0045,202301011208H1208,,,,, ,20230920,1024.1,23.01,22.9877023688365,14.3,
,3,,52,,,,,,,,,,,,,,, ,,,,,,
,3,47.0,53,サンプル0035,,,,,,20230915,1.0,H0031,202301011209H1209,,,,, ,20230915,992.8,20.91,21.2554578670952,14.3,
,3,20.0,54,サンプル0036,,,,,,20230906,1.0,H0018,202301011210H1210,,,,, ,20230906,1060.5,24.38,24.4426400479895,14.4,
,3,48.0,55,サンプル0037,,,,,,20230907,1.0,H0019,202301011211H1211,,,,, ,20230907,1129.3,22.27,21.8261867695484,14.0,
,3,21.0,56,サンプル0038,,,,,,20230913,1.0,H0030,202301011212H1212,,,,, ,20230913,992.2,25.2,23.3107626561089,13.9,
,3,22.0,57,サンプル0039,,,,,,20230913,1.0,H0029,202301011213H1213,,,,, ,20230913,982.6,22.93,23.8640905514771,13.7,
,3,49.0,58,サンプル0040,,,,,,20230910,,H0010,202301011214H1214,,,,, ,20230910,1034.8,23.05,21.7922878353687,13.3,
,3,10.0,59,サンプル0041,,,,,,20230917,1.0,H0037,202301011215H1215,,,,, ,20230917,1051.3,22.3,22.2116670940406,14.5,
,3,11.0,60,サンプル0042,,,,,,20230901,1.0,H0011,202301011216H1216,,,,, ,20230901,1022.3,23.11,22.2265514018629,15.0,
,3,23.0,61,サンプル0043,,,,,,20230901,1.0,H0012,202301011217H1217,,,,, ,20230901,1014.5,24.68,21.7809792636506,13.9,
,3,24.0,62,サンプル0044,,,,,,20230915,1.0,H0034,202301011218H1218,,,,, ,20230915,1123.7,23.9,21.4112856548242,13.9,
,3,25.0,63,サンプル0045,,,,,,20230915,1.0,H0032,202301011219H1219,,,,, ,20230915,1057.9,23.39,22.7285174174091,14.1,
,3,12.0,64,サンプル0046,,,,,,20230919,1.0,H0042,202301011220H1220,,,,, ,20230919,1085.8,22.23,23.569290789304,14.0,
,3,26.0,65,サンプル0047,,,,,,20230919,1.0,H0042,202301011221H1221,,,,, ,20230919,986.1,21.55,24.5105801977503,13.3,
,3,27.0,66,サンプル0048,,,,,,20230919,1.0,H0041,202301011222H1222,,,,, ,20230919,1031.8,24.28,21.8489082732456,15.3,
,3,50.0,67,サンプル0049,,,,,,20230920,1.0,H0046,202301011223H1223,,,,, ,20230920,958.9,26.03,21.9523476443572,14.6,
,3,13.0,68,サンプル0050,,,,,,20230918,1.0,H0039,202301011224H1224,,,,, ,20230918,1067.3,23.76,21.3739117488561,13.8,
,3,14.0,69,サンプル0051,,,,,,20230910,1.0,H0023,202301011225H1225,,,,, ,20230910,1033.2,24.83,20.4260801837275,14.5,
,3,15.0,70,サンプル0052,,,,,,20230924,1.0,H0052,202301011226H1226,,,,, ,20230924,1034.6,23.15,23.3332778693653,14.0,
,3,16.0,71,サンプル0053,,,,,,20230912,1.0,H0027,202301011227H1227,,,,, ,20230912,1058.7,23.94,22.354852525386,14.2,
,3,17.0,72,サンプル0054,,,,,,20230925,1.0,H0055,202301011228H1228,,,,, ,20230925,958.2,22.27,23.7056650278656,14.6,
,3,28.0,73,サンプル0055,,,,,,20230925,1.0,H0056,202301011229H1229,,,,, ,20230925,965.1,24.28,23.4379108087815,15.0,
,3,51.0,74,サンプル0056,,,,,,20230905,1.0,H0013,202301011230H1230,,,,, ,20230905,1070.3,21.46,22.6462663245602,15.4,
,3,29.0,75,サンプル0057,,,,,,20230907,1.0,H0020,202301011231H1231,,,,, ,20230907,1014.5,22.95,22.436826412129,15.5,
,3,30.0,76,サンプル0058,,,,,,20230924,1.0,H0051,202301011232H1232,,,,, ,20230924,1094.0,24.04,21.6834153294943,14.1,
,3,18.0,77,サンプル0059,,,,,,20230905,1.0,H0014,202301011233H1233,,,,, ,20230905,1027.0,23.75,23.056712530464,14.0,
,3,19.0,78,サンプル0060,,,,,,20230905,1.0,H0015,202301011234H1234,,,,, ,20230905,971.9,23.23,23.516118943168,14.4,
,4,135.0,79,サンプル0061,,サンプル0905,,サンプル1316,,20230911,1.0,H0029,202301011235H1235,,,,, ,20230911,999.7,25.12,22.8573859662895,14.4,
,4,136.0,80,サンプル0062,,サンプル0906,,サンプル1317,,20230911,1.0,H0030,202301011236H1236,,,,, ,20230911,1003.7,22.52,20.6876797542485,13.8,
,4,137.0,81,サンプル0063,,サンプル0907,,サンプル1318,,20230914,1.0,H0038,202301011237H1237,,,,, ,20230914,1046.0,24.07,24.0287682118252,13.9,
,4,138.0,82,サンプル0064,,サンプル0908,,サンプル1319,,20230913,1.0,H0032,202301011238H1238,,,,, ,20230913,1032.4,24.28,21.1672120021483,14.9,
,4,139.0,83,サンプル0065,,,,サンプル1320,,20230901,1.0,H0016,202301011239H1239,,,,, ,20230901,1042.5,24.83,23.2661823970039,15.5,
,4,140.0,84,サンプル0066,,サンプル0909,,サンプル1321,,20230911,1.0,H0031,202301011240H1240,,,,, ,20230911,990.1,25.95,22.4437039021905,14.2,
,4,141.0,85,サンプル0067,,サンプル0910,,サンプル1322,,20230916,1.0,H0043,202301011241H1241,,,,, ,20230916,1027.0,24.33,22.1274339031486,13.9,
,4,142.0,86,サンプル0068,,サンプル0911,,サンプル1323,,20230916,1.0,H0045,202301011242H1242,,,,, ,20230916,1113.6,23.5,23.6622147331267,14.1,
,4,143.0,87,サンプル0069,,サンプル0912,,サンプル1324,,20230917,1.0,H0048,202301011243H1243,,,,, ,20230917,1100.5,22.98,23.9803247902253,13.6,
,4,144.0,88,サンプル0070,,サンプル0913,,サンプル1325,,20230918,1.0,H0049,202301011244H1244,,,,, ,20230918,999.6,22.99,22.5439563528904,14.1,
,4,145.0,89,サンプル0071,,サンプル0914,,サンプル1326,,20230918,1.0,H0050,202301011245H1245,,,,, ,20230918,1032.2,24.23,24.0734704708577,14.6,
,4,146.0,90,サンプル0072,,サンプル0915,,サンプル1327,,20230919,1.0,H0051,202301011246H1246,,,,, ,20230919,1007.5,22.99,23.6663758543799,14.3,
,4,147.0,91,サンプル0073,,サンプル0916,,サンプル1328,,20230917,1.0,H0047,202301011247H1247,,,,, ,20230917,1062.5,23.53,21.7411259593289,15.2,
,4,148.0,92,サンプル0074,,サンプル0917,,サンプル1329,,20230919,1.0,H0052,202301011248H1248,,,,, ,20230919,1035.3,23.56,23.7385767083095,14.4,
,4,149.0,93,サンプル0075,,サンプル0918,,サンプル1330,,20230917,1.0,H0046,202301011249H1249,,,,, ,20230917,1003.8,24.61,22.6491090044771,14.7,
,4,150.0,94,サンプル0076,,サンプル0919,,サンプル1331,,20230915,1.0,H0041,202301011250H1250,,,,, ,20230915,1056.1,23.38,20.5974656295896,14.2,
,4,151.0,95,サンプル0077,,サンプル0920,,サンプル1332,,20230919,1.0,H0053,202301011251H1251,,,,, ,20230919,984.1,22.34,22.1436775376193,15.3,
,4,152.0,96,サンプル0078,,サンプル0921,,サンプル1333,,20230916,1.0,H0044,202301011252H1252,,,,, ,20230916,1038.6,23.95,23.0836006206206,13.5,
,4,153.0,97,サンプル0079,,サンプル0922,,サンプル1334,,20230916,1.0,H0042,202301011253H1253,,,,, ,20230916,1083.0,21.81,20.435927992002,14.1,
,4,154.0,98,サンプル0080,,サンプル0923,,サンプル1335,,20230913,1.0,H0034,202301011254H1254,,,,, ,20230913,1090.2,23.25,23.0154565310754,13.5,
,4,155.0,99,サンプル0081,,サンプル0924,,サンプル1336,,20230914,1.0,H0036,202301011255H1255,,,,, ,20230914,1065.6,23.45,23.0512504028553,14.9,
,4,156.0,100,サンプル0082,,サンプル0925,,サンプル1337,,20230913,1.0,H0033,202301011256H1256,,,,, ,20230913,1018.7,24.82,23.2014191488516,14.9,
,4,157.0,101,サンプル0083,,サンプル0926,,サンプル1338,,20230915,1.0,H0040,202301011257H1257,,,,, ,20230915,1101.3,24.02,22.5166603275633,14.0,
,4,158.0,102,サンプル0084,,サンプル0927,,サンプル1339,,20230914,1.0,H0037,202301011258H1258,,,,, ,20230914,1126.2,22.33,22.9401670461511,15.5,
,4,159.0,103,サンプル0085,,サンプル0928,,サンプル1340,,20230914,1.0,H0039,202301011259H1259,,,,, ,20230914,1102.4,24.05,22.1238980506526,14.1,
,4,160.0,104,サンプル0086,,サンプル0929,,サンプル1341,,20230920,1.0,H0054,202301011260H1260,,,,, ,20230920,1072.6,22.42,20.9857734612833,13.3,
,4,161.0,105,サンプル0087,,,,サンプル1342,,20230904,1.0,H0017,202301011261H1261,,,,, ,20230904,1033.1,24.19,21.244464604894,14.1,
,4,162.0,106,サンプル0088,,,,サンプル1343,,20230905,1.0,H0018,202301011262H1262,,,,, ,20230905,1034.7,23.39,21.4596688497888,14.6,
,5,163.0,107,サンプル0089,,サンプル0930,,サンプル1344,,20230920,1.0,H0056,202301011263H1263,,,,, ,20230920,1050.8,23.39,20.3654190640168,14.2,
,5,164.0,108,サンプル0090,,サンプル0931,,サンプル1345,,20230922,1.0,H0060,202301011264H1264,,,,, ,20230922,1011.7,24.91,22.8676037471857,15.9,
,5,165.0,109,サンプル0091,,サンプル0932,,サンプル1346,,20230921,1.0,H0058,202301011265H1265,,,,, ,20230921,1012.5,23.01,21.0932660509577,14.9,
,5,,110,,,,,,,,,,,,,,, ,,,,,,
,5,166.0,111,サンプル0092,,サンプル0933,,サンプル1347,,20230921,1.0,H0057,202301011266H1266,,,,, ,20230921,1132.8,22.44,22.9148218814053,15.3,
,5,167.0,112,サンプル0093,,サンプル0934,,サンプル1348,,20230923,1.0,H0062,202301011267H1267,,,,, ,20230923,1015.0,21.92,22.0141104382322,13.1,
,5,168.0,113,サンプル0094,,サンプル0935,,サンプル1349,,20230924,1.0,H0064,202301011268H1268,,,,, ,20230924,1044.1,24.38,22.5873377099611,14.1,
,5,169.0,114,サンプル0095,,サンプル0936,,サンプル1350,,20230920,1.0,H0055,202301011269H1269,,,,, ,20230920,991.8,23.53,20.9919397204975,12.4,
,5,170.0,115,サンプル0096,,サンプル0937,,サンプル1351,,20230922,1.0,H0061,202301011270H1270,,,,, ,20230922,993.7,24.13,21.5033792735267,13.9,
,5,171.0,116,サンプル0097,,サンプル0938,,サンプル1352,,20230924,1.0,H0063,202301011271H1271,,,,, ,20230924,1106.6,22.16,24.3534531174634,15.1,
,5,172.0,117,サンプル0098,,サンプル0939,,サンプル1353,,20230925,1.0,H0067,202301011272H1272,,,,, ,20230925,1033.7,21.63,22.2955802255698,13.7,
,5,173.0,118,サンプル0099,,サンプル0940,,サンプル1354,,20230925,1.0,H0068,202301011273H1273,,,,, ,20230925,1028.3,25.63,22.1902277494172,13.9,
,5,,119,,,,,,,,,,,,,,, ,,,,,,
,5,174.0,120,サンプル0100,,サンプル0941,,サンプル1355,,20230925,1.0,H0066,202301011274H1274,,,,, ,20230925,1105.5,23.19,23.2167639488274,14.9,
,5,175.0,121,サンプル0101,,サンプル0942,,サンプル1356,,20230929,1.0,H0072,202301011275H1275,,,,, ,20230929,1097.7,24.14,22.2887811113202,14.1,
,5,176.0,122,サンプル0102,,サンプル0943,,サンプル1357,,20230926,1.0,H0071,202301011276H1276,,,,, ,20230926,1016.7,23.43,24.1991294857315,14.1,
,5,177.0,123,サンプル0103,,サンプル0944,,サンプル1358,,20230929,1.0,H0073,202301011277H1277,,,,, ,20230929,1057.5,21.58,21.9200546330169,14.9,
,5,178.0,124,サンプル0104,,サンプル0945,,サンプル1359,,20230926,1.0,H0069,202301011278H1278,,,,, ,20230926,1075.4,22.61,23.8273313271022,14.5,
,5,179.0,125,サンプル0105,,サンプル0946,,サンプル1360,,20230930,1.0,H0075,202301011279H1279,,,,, ,20230930,1078.8,23.04,21.5510981632954,14.1,
,5,,126,,,,,,,,,,,,,,, ,,,,,,
,5,180.0,127,サンプル0106,,サンプル0947,,サンプル1361,,20230930,1.0,H0076,202301011280H1280,,,,, ,20230930,1117.8,24.25,21.3169540541329,14.4,
,5,181.0,128,サンプル0107,,サンプル0948,,サンプル1362,,20230926,1.0,H0070,202301011281H1281,,,,, ,20230926,1029.5,22.9,22.4123937121328,14.5,
,5,182.0,129,サンプル0108,,サンプル0949,,サンプル1363,,20231002,1.0,H0077,202301011282H1282,,,,, ,20231002,930.0,22.83,23.229922753313,15.7,
,5,183.0,130,サンプル0109,,サンプル0950,,サンプル1364,,20230929,1.0,H0074,202301011283H1283,,,,, ,20230929,1111.7,22.24,20.7794891378447,14.1,
,5,184.0,131,サンプル0110,,サンプル0951,,サンプル1365,,20231003,1.0,H0081,202301011284H1284,,,,, ,20231003,1050.4,23.15,21.2784723559642,13.9,
,5,185.0,132,サンプル0111,,サンプル0952,,サンプル1366,,20231002,1.0,H0080,202301011285H1285,,,,, ,20231002,980.1,21.59,21.6263200287636,15.3,
,5,,133,,,,,,,,,,,,,,, ,,,,,,
,5,186.0,134,サンプル0112,,サンプル0953,,サンプル1367,,20231006,1.0,H0084,202301011286H1286,,,,, ,20231006,1110.8,23.85,22.3587410296733,15.5,
,5,187.0,135,サンプル0113,,サンプル0954,,サンプル1368,,20231006,1.0,H0086,202301011287H1287,,,,, ,20231006,1013.3,22.16,21.2892738746356,14.2,
,5,188.0,136,サンプル0114,,サンプル0955,,サンプル1369,,20231004,1.0,H0082,202301011288H1288,,,,, ,20231004,1027.3,24.01,22.088643117667,14.4,
,5,189.0,137,サンプル0115,,サンプル0956,,サンプル1370,,20231007,1.0,H0087,202301011289H1289,,,,, ,20231007,1008.6,22.39,23.8008805120471,14.8,
,5,190.0,138,サンプル0116,,サンプル0957,,サンプル1371,,20231007,1.0,H0088,202301011290H1290,,,,, ,20231007,1148.3,24.15,22.4107482547747,15.2,
,5,191.0,139,サンプル0117,,,,サンプル1372,,20230930,1.0,H0015,202301011291H1291,,,,, ,20230930,1057.5,24.38,20.8700284535386,15.0,
,5,192.0,140,サンプル0118,,サンプル0958,,サンプル1373,,20231002,1.0,H0078,202301011292H1292,,,,, ,20231002,1119.7,22.91,23.3899926984517,14.2,
,5,193.0,141,サンプル0119,,サンプル0959,,サンプル1374,,20231010,1.0,H0089,202301011293H1293,,,,, ,20231010,1123.7,23.89,21.3169825625707,14.1,
,5,194.0,142,サンプル0120,,サンプル0960,,サンプル1375,,20230903,1.0,H0014,202301011294H1294,,,,, ,20230903,1041.5,23.84,23.4256332091259,14.6,
,5,195.0,143,サンプル0121,,サンプル0961,,サンプル1376,,20231006,1.0,H0085,202301011295H1295,,,,, ,20231006,1018.7,23.61,22.4664409581701,14.4,
,5,196.0,144,サンプル0122,,,,サンプル1377,,20230910,1.0,H0027,202301011296H1296,,,,, ,20230910,1030.4,22.86,23.6887588830962,13.9,
,5,197.0,145,サンプル0123,,,,,,20230908,1.0,H0026,202301011297H1297,,,,, ,20230908,991.6,22.87,21.717971438612,14.6,
,5,198.0,146,サンプル0124,,,,,,20230908,1.0,H0025,202301011298H1298,,,,, ,20230908,1078.3,22.06,22.4580540653848,15.0,
,5,199.0,147,サンプル0125,,,,,,20230910,1.0,H0028,202301011299H1299,,,,, ,20230910,1104.5,23.52,22.6175286052651,14.4,
,5,200.0,148,サンプル0126,,,,,,20230907,1.0,H0023,202301011300H1300,,,,, ,20230907,1149.3,23.28,24.4564760173177,15.4,
,5,201.0,149,サンプル0127,,,,サンプル1378,,20230906,1.0,H0020,202301011301H1301,,,,, ,20230906,967.4,23.74,21.2055596815307,14.6,
,5,202.0,150,サンプル0128,,,,サンプル1379,,20230907,1.0,H0022,202301011302H1302,,,,, ,20230907,1018.9,26.01,20.9297092656144,14.2,
,5,203.0,151,サンプル0129,,,,サンプル1380,,20230902,1.0,H0012,202301011303H1303,,,,, ,20230902,1053.3,21.7,19.8550074690751,14.4,
,5,204.0,152,サンプル0130,,,,,,20230907,1.0,H0024,202301011304H1304,,,,, ,20230907,1158.8,23.3,23.5143626034989,13.9,
,5,205.0,153,サンプル0131,,,,,,20230902,1.0,H0013,202301011305H1305,,,,, ,20230902,1043.7,23.54,20.967278792955,13.6,
,5,206.0,154,サンプル0132,,サンプル0962,,サンプル1381,,20230831,1.0,H0009,202301011306H1306,,,,, ,20230831,1073.8,22.01,22.3701478236123,14.7,
,5,,155,,,,,,,,,,,,,,, ,,,,,,
,5,207.0,156,サンプル0133,,サンプル0963,,サンプル1382,,20230831,1.0,H0010,202301011307H1307,,,,, ,20230831,1011.7,23.29,22.5258726792902,14.1,
,5,208.0,157,サンプル0134,,,,サンプル1383,,20230906,1.0,H0021,202301011308H1308,,,,, ,20230906,1057.4,26.54,22.5491006346863,14.3,
,5,209.0,158,サンプル0135,,サンプル0964,,サンプル1384,,20230830,1.0,H0008,202301011309H1309,,,,, ,20230830,1051.5,23.21,21.6725025982496,14.6,
,5,210.0,159,サンプル0136,,サンプル0965,,サンプル1385,,20230830,1.0,H0007,202301011310H1310,,,,, ,20230830,1118.3,22.45,22.2184705104759,14.7,
,5,211.0,160,サンプル0137,,サンプル0966,,サンプル1386,,,,,,,,,, ,2023-08-25 00:00:00,988.7,22.6,21.3236626718363,14.4,
,5,212.0,161,サンプル0138,,,,サンプル1387,,20230905,1.0,H0019,202301011311H1311,,,,, ,20230905,1040.3,22.48,23.0626039866723,13.0,
,5,213.0,162,サンプル0139,,サンプル0967,,サンプル1388,,20230930,1.0,H0075,202301011312H1312,,,,, ,20230930,1039.1,22.34,21.6261099493934,14.2,
,5,214.0,163,サンプル0140,,,,サンプル1389,,20231003,,,20231003,,,,, ,20231003,1053.6,23.7,20.2742464318392,13.8,
,5,215.0,164,サンプル0141,,サンプル0968,,サンプル1390,,,,,,,,,, ,2023-08-24 00:00:00,1107.0,24.23,20.0415083252334,14.2,
,6,,165,,,,,,,,,,,,,,, ,,,,,,note_E
,6,477.0,166,,,,,,,20230831,1.0,H0017,202301011313H1313,,,,, ,20230831,1033.0,23.58,23.588525178219,14.9,
,6,478.0,167,,,,,,,20230906,1.0,H0028,202301011314H1314,,,,, ,20230906,1008.0,24.2,23.4464037046694,14.5,
,6,,168,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,169,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,170,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,171,,,,,,,,,,,,,,, ,,,,,,
,6,,172,,,,,,,  ,,,  ,,,,, ,  ,,,,,note_E
,6,479.0,173,,,,,,,20230829,1.0,H0013,202301011315H1315,,,,, ,20230829,1096.3,23.45,23.0098867863723,14.6,
,6,,174,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,175,,,,,,,,,,,,,,, ,,,,,,
,6,480.0,176,,,,,,,20230914,1.0,H0044,202301011316H1316,,,,, ,20230914,1044.8,24.15,23.8129355913766,15.1,
,6,,177,,,,,,,,,,,,,,, ,,,,,,
,6,,178,,,,,,,,,,,,,,, ,,,,,,note_E
,6,481.0,179,,,,,,,20230915,1.0,H0046,202301011317H1317,,,,, ,20230915,989.7,23.4,21.9342803719264,14.2,
,6,,180,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,181,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,182,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,183,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,184,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,185,,,,,,,,,,,,,,, ,,,,,,note_E
,6,482.0,186,,,,,,,20230904,1.0,H0023,202301011318H1318,,,,, ,20230904,1045.4,23.09,22.1108411430994,13.8,
,6,483.0,187,,,,,,,20230905,1.0,H0027,202301011319H1319,,,,, ,20230905,1050.3,23.7,21.7274372223642,15.1,
,6,484.0,188,,,,,,,20230913,1.0,H0040,202301011320H1320,,,,, ,20230913,958.0,23.57,20.6088427590795,14.1,
,6,,189,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,190,,,,,,,,,,,,,,, ,,,,,,note_E
,6,485.0,191,,,,,,,20230916,1.0,H0047,202301011321H1321,,,,, ,20230916,1066.8,24.29,21.0628377564439,14.7,
,6,,192,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,193,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,194,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,195,,,,,,,,,,,,,,, ,,,,,,note_E
,6,486.0,196,,,,,,,20230901,1.0,H0019,202301011322H1322,,,,, ,20230901,1057.2,24.17,24.7405963364671,14.4,
,6,487.0,197,,,,,,,20230909,1.0,H0036,202301011323H1323,,,,, ,20230909,1076.2,23.15,22.4070295888293,14.2,
,6,,198,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,199,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,200,,,,,,,,,,,,,,, ,,,,,,note_E
,6,,201,,,,,,,,,,,,,,, ,,,,,,note_E
,7,925.0,202,,,,,,,20230924,1.0,H0068,202301011324H1324,,,,, ,20230924,966.9,22.3,20.6391356132835,13.8,
,7,926.0,203,,,,,,,20230924,1.0,H0069,202301011325H1325,,,,, ,20230924,949.0,24.62,20.154312235791,14.0,
,7,927.0,204,,,,,,,20230925,1.0,H0072,202301011326H1326,,,,, ,20230925,1059.8,23.13,24.1795427609649,14.9,
,7,928.0,205,,,,,,,20230926,1.0,H0073,202301011327H1327,,,,, ,20230926,1111.2,23.46,20.1430611052675,15.5,
,7,,206,,,,,,,,,,,,,,, ,,,,,,
