sample_id,year,analyzer_id,p_grA_w_ratio,p_grB_w_ratio,p_grC_w_ratio,p_grD_w_ratio,p_grE_w_ratio,p_grF_w_ratio,p_grG_w_ratio,p_grA_c_ratio,p_grB_c_ratio,p_grC_c_ratio,p_grD_c_ratio,p_grE_c_ratio,p_grF_c_ratio,p_grG_c_ratio,p_grA_count,p_grB_count,p_grC_count,p_grD_count,p_grE_count,p_grF_count,p_grG_count,s_grA_w_ratio,s_grF_w_ratio,s_grH_w_ratio,s_grC_w_ratio,s_grB_w_ratio,s_grD_w_ratio,s_grA_c_ratio,s_grF_c_ratio,s_grH_c_ratio,s_grC_c_ratio,s_grB_c_ratio,s_grD_c_ratio,s_grA_count,s_grF_count,s_grH_count,s_grC_count,s_grB_count,s_grD_count,d_grA_w_ratio,d_grI_w_ratio,d_grJ_w_ratio,d_grK_w_ratio,d_grL_w_ratio,d_grM_w_ratio,d_grE_w_ratio,d_grN_w_ratio,d_grO_w_ratio,d_grP_w_ratio,d_grQ_w_ratio,d_grR_w_ratio,d_grD_w_ratio,d_grA_c_ratio,d_grI_c_ratio,d_grJ_c_ratio,d_grK_c_ratio,d_grL_c_ratio,d_grM_c_ratio,d_grE_c_ratio,d_grN_c_ratio,d_grO_c_ratio,d_grP_c_ratio,d_grQ_c_ratio,d_grR_c_ratio,d_grD_c_ratio,d_grA_count,d_grI_count,d_grJ_count,d_grK_count,d_grL_count,d_grM_count,d_grE_count,d_grN_count,d_grO_count,d_grP_count,d_grQ_count,d_grR_count,d_grD_count,all_length_mean,all_width_mean,all_thickness_mean,all_brightness_mean,all_length_sd,all_width_sd,all_thickness_sd,all_brightness_sd,grA_length_mean,grA_width_mean,grA_thickness_mean,grA_brightness_mean,grA_length_sd,grA_width_sd,grA_thickness_sd,grA_brightness_sd,measured_count,flag_crack,flag_features
13,2024,604.0,33.1,0.2,0.0,0.4,1.6,4.5,31.2,50.3,0.4,7.4,0.0,3.7,5.5,49.6,338.0,4.0,0.0,59.0,9.0,47.0,614.0,46.8,33.3,1.7,1.1,0.2,0.4,49.6,39.7,0.1,0.0,0.0,6.1,534.0,356.0,43.0,0.0,0.0,80.0,75.2,2.2,8.2,0.4,0.8,44.3,0.7,0.2,0.0,0.0,0,0.1,3.2,80.8,3.0,2.0,6.3,0.0,37.1,0.0,0.1,0.0,4.9,0,0.0,0.0,409.0,15.0,46.0,30.0,25.0,303.0,0.0,4.0,2.0,51.0,0,8.0,91.0,5.18,2.7,2.07,23.1,0.31,0.1,0.06,2.2,5.79,2.89,1.66,14.8,0.22,0.08,0.08,1.72,979.0,有,有
14,2024,426.0,52.8,0.2,4.9,0.0,1.2,7.7,37.1,58.6,0.3,0.0,5.5,0.0,8.1,29.9,718.0,4.0,29.0,0.0,4.0,0.0,481.0,64.1,46.6,2.3,0.0,0.9,4.5,32.4,22.6,0.1,2.3,0.2,4.7,709.0,502.0,8.0,0.0,0.0,57.0,68.9,7.2,9.1,1.6,1.5,26.5,0.6,0.0,0.1,8.8,0,0.3,0.0,63.9,0.0,5.9,0.0,1.3,22.0,0.0,0.0,0.1,0.0,0,0.0,0.0,467.0,37.0,37.0,28.0,4.0,245.0,0.0,6.0,0.0,0.0,0,3.0,54.0,5.27,2.73,2.0,21.7,0.41,0.09,0.07,2.2,5.79,2.77,1.39,24.9,0.28,0.07,0.07,1.15,985.0,有,無
15,2024,1107.0,24.2,0.1,0.0,1.3,1.6,0.9,35.0,64.8,0.0,0.0,5.0,0.4,2.8,21.5,582.0,3.0,67.0,58.0,9.0,68.0,284.0,52.8,42.6,0.0,0.0,0.5,2.6,38.8,50.7,0.0,5.3,0.0,0.0,626.0,382.0,2.0,62.0,2.0,0.0,56.9,4.3,6.6,8.2,1.1,23.1,1.4,0.0,0.0,0.0,0,0.2,2.1,76.0,8.5,5.4,0.0,4.8,24.8,4.3,0.2,0.2,1.2,0,0.0,0.0,597.0,24.0,27.0,64.0,0.0,376.0,0.0,0.0,0.0,0.0,0,0.0,47.0,5.22,2.69,2.05,21.9,0.38,0.1,0.06,1.6,4.12,2.89,2.05,24.9,0.15,0.09,0.06,1.41,1082.0,有,有
16,2024,347.0,53.6,0.4,2.3,4.2,0.6,2.7,28.0,45.1,0.4,0.0,0.9,0.0,4.8,30.5,381.0,1.0,0.0,86.0,0.0,8.0,365.0,76.8,44.3,0.6,0.0,0.4,9.4,37.5,31.3,0.3,11.6,0.4,17.0,592.0,392.0,5.0,0.0,6.0,23.0,60.0,3.3,3.9,2.6,1.5,11.0,1.0,0.2,0.0,0.0,0,0.6,9.6,53.6,6.3,1.7,5.0,1.7,20.0,2.8,0.3,0.0,7.3,0,0.8,0.0,499.0,45.0,80.0,54.0,31.0,278.0,15.0,2.0,3.0,49.0,0,0.0,23.0,5.32,2.66,1.99,23.2,0.43,0.07,0.1,2.1,5.79,2.89,2.14,13.9,0.14,0.07,0.06,0.9,1021.0,有,有
17,2024,356.0,40.5,0.0,0.0,3.2,0.6,2.8,48.7,35.3,0.8,0.0,1.8,0.0,5.7,50.6,414.0,2.0,0.0,134.0,7.0,0.0,357.0,45.1,36.4,0.0,4.7,0.0,8.1,68.6,10.8,0.0,0.0,0.0,0.0,841.0,477.0,48.0,0.0,0.0,32.0,50.3,4.0,2.5,0.0,0.0,30.4,1.8,0.2,0.0,0.0,0,0.5,2.4,54.5,4.3,5.7,0.0,0.0,37.9,0.0,0.2,0.0,4.0,0,0.0,0.0,601.0,0.0,57.0,103.0,0.0,144.0,8.0,0.0,1.0,11.0,0,1.0,0.0,5.24,2.7,2.09,23.9,0.22,0.1,0.09,1.9,4.46,2.15,2.05,24.9,0.18,0.06,0.06,1.41,1001.0,有,有
18,2024,196.0,68.4,0.0,2.5,6.4,0.0,0.0,52.0,57.2,0.0,0.0,10.1,0.0,4.9,33.7,754.0,0.0,0.0,0.0,16.0,0.0,282.0,64.3,51.6,3.4,0.0,0.0,2.2,54.7,31.3,0.0,3.2,0.0,2.7,572.0,562.0,31.0,10.0,0.0,53.0,83.1,0.5,0.0,6.5,0.0,12.6,0.0,0.2,0.0,1.8,0,0.0,0.7,41.5,0.0,9.3,1.2,0.3,38.2,1.8,0.4,0.0,0.0,0,0.0,2.1,336.0,38.0,14.0,62.0,11.0,360.0,22.0,0.0,1.0,87.0,0,0.0,16.0,5.17,2.79,2.01,21.9,0.33,0.08,0.08,2.6,5.58,2.89,1.72,20.0,0.23,0.08,0.05,1.43,1012.0,有,有
19,2024,1025.0,65.0,0.5,3.9,1.9,0.0,2.3,43.0,31.9,0.4,17.0,0.2,0.7,7.7,51.3,443.0,2.0,41.0,0.0,4.0,43.0,482.0,72.7,53.3,1.2,9.1,0.4,4.9,51.9,30.1,2.7,0.0,0.0,5.0,470.0,208.0,33.0,34.0,0.0,4.0,70.7,0.0,2.9,0.0,3.2,24.0,2.2,0.4,0.1,6.8,0,0.1,0.0,64.7,2.1,2.8,0.0,4.2,22.3,0.0,0.0,0.0,0.0,0,0.3,0.0,597.0,5.0,39.0,0.0,32.0,423.0,0.0,1.0,0.0,57.0,0,0.0,24.0,5.29,2.72,2.0,24.4,0.22,0.1,0.08,2.5,2.74,2.59,1.65,11.5,0.2,0.1,0.08,1.39,1003.0,有,有
20,2024,748.0,65.6,0.1,0.1,0.9,1.7,0.0,2.6,46.2,0.2,0.0,10.1,0.0,6.6,40.0,581.0,1.0,58.0,0.0,0.0,100.0,582.0,64.3,45.2,1.6,0.0,0.2,0.0,77.1,46.9,1.6,0.0,0.2,3.4,503.0,476.0,50.0,93.0,0.0,0.0,56.2,9.3,0.0,0.0,0.0,32.4,0.0,0.3,0.0,5.0,0,0.5,0.0,59.9,4.8,4.7,6.0,0.0,46.4,1.8,0.3,0.0,0.0,0,0.0,6.6,622.0,27.0,43.0,40.0,0.0,324.0,31.0,1.0,2.0,0.0,0,1.0,67.0,5.3,2.75,2.0,22.2,0.29,0.09,0.1,2.2,5.79,1.77,2.2,21.2,0.19,0.06,0.09,1.08,1088.0,有,有
21,2024,18.0,79.8,0.1,0.0,2.2,2.0,1.0,25.8,20.1,0.0,3.2,7.1,0.0,0.0,30.9,588.0,3.0,0.0,94.0,21.0,31.0,142.0,58.3,28.7,2.4,15.2,0.2,0.3,74.6,34.0,0.8,0.0,0.1,0.0,471.0,281.0,34.0,46.0,5.0,13.0,59.0,6.0,6.6,0.2,1.9,37.4,3.6,0.2,0.0,11.3,0,0.5,0.0,40.7,4.7,0.0,6.4,2.2,41.5,0.0,0.1,0.2,0.0,0,0.3,5.7,416.0,4.0,42.0,6.0,23.0,224.0,10.0,5.0,1.0,0.0,0,2.0,0.0,5.13,2.73,2.02,24.0,0.2,0.08,0.09,2.2,5.79,2.74,1.91,21.3,0.22,0.07,0.06,2.14,1097.0,有,有
22,2024,349.0,84.1,0.0,1.9,2.3,0.0,6.0,39.8,31.5,0.2,0.0,0.0,1.1,1.6,49.2,775.0,0.0,0.0,0.0,0.0,8.0,552.0,74.1,53.8,0.6,0.3,0.3,0.0,60.6,43.9,0.0,0.0,0.0,6.5,685.0,378.0,0.0,108.0,4.0,74.0,88.4,1.8,0.8,7.6,2.5,37.4,0.0,0.0,0.0,0.0,0,0.0,4.2,24.5,0.3,0.0,5.0,2.4,33.7,0.0,0.5,0.2,6.8,0,0.3,0.0,339.0,24.0,52.0,47.0,16.0,204.0,18.0,0.0,3.0,44.0,0,2.0,28.0,5.35,2.8,1.97,24.1,0.19,0.1,0.09,2.0,5.29,2.76,1.64,24.1,0.28,0.08,0.08,1.54,999.0,有,有
23,2024,357.0,71.4,0.2,9.8,0.0,2.2,0.7,34.9,67.5,0.0,0.0,14.5,0.2,4.4,42.8,517.0,0.0,0.0,0.0,5.0,28.0,452.0,45.4,61.1,0.1,12.1,0.0,7.0,62.1,38.8,2.7,0.0,0.2,0.0,299.0,374.0,5.0,0.0,0.0,17.0,52.0,4.4,5.8,4.1,0.9,23.4,0.2,0.1,0.0,2.2,0,0.1,0.0,66.9,4.1,5.1,0.0,0.4,25.9,2.7,0.0,0.2,6.3,0,0.2,3.5,866.0,18.0,25.0,36.0,2.0,393.0,0.0,2.0,1.0,93.0,0,2.0,21.0,5.2,2.74,1.99,22.3,0.29,0.09,0.11,2.6,4.72,2.89,1.68,16.0,0.2,0.07,0.05,1.24,1053.0,有,有
24,2024,614.0,53.7,0.0,10.3,1.9,0.0,5.5,68.3,50.0,0.3,6.6,0.0,0.8,3.9,10.4,340.0,1.0,0.0,15.0,43.0,3.0,285.0,88.7,30.5,3.1,0.0,0.0,0.8,51.2,52.6,3.6,7.1,0.4,10.3,723.0,360.0,20.0,32.0,5.0,93.0,19.2,6.6,5.7,4.1,2.0,35.0,1.5,0.3,0.2,12.1,0,0.2,5.9,61.4,2.9,0.0,5.5,0.0,41.4,1.2,0.5,0.2,8.4,0,0.5,6.8,812.0,4.0,0.0,112.0,21.0,456.0,20.0,1.0,0.0,92.0,0,2.0,57.0,5.27,2.71,2.0,22.9,0.21,0.1,0.1,2.4,5.79,2.08,1.7,17.8,0.19,0.06,0.06,1.28,1121.0,有,有
25,2024,147.0,60.2,0.1,2.9,11.4,0.0,4.5,26.1,60.0,0.0,1.9,2.4,0.3,2.9,21.4,522.0,5.0,0.0,0.0,7.0,69.0,432.0,77.0,17.6,1.4,0.0,0.0,8.2,32.2,37.2,1.8,1.2,0.1,2.2,444.0,322.0,0.0,0.0,1.0,0.0,44.8,3.3,0.5,1.6,2.7,16.8,0.0,0.2,0.0,10.3,0,0.4,1.9,43.4,3.6,3.5,4.3,0.8,19.4,0.3,0.6,0.1,4.6,0,0.3,0.0,651.0,0.0,75.0,12.0,0.0,306.0,20.0,0.0,0.0,0.0,0,0.0,30.0,5.39,2.73,2.07,24.2,0.46,0.09,0.09,1.6,2.42,2.29,2.18,18.6,0.2,0.1,0.07,1.52,1026.0,有,有
26,2024,316.0,71.2,0.4,10.1,0.0,1.4,2.1,13.6,71.5,0.3,0.0,7.3,1.8,4.8,51.1,753.0,0.0,62.0,29.0,15.0,29.0,605.0,77.2,60.1,0.0,3.7,0.0,1.4,35.9,28.5,0.0,1.5,0.6,9.3,574.0,445.0,19.0,0.0,3.0,21.0,50.5,7.7,8.2,0.7,0.0,28.3,1.1,0.4,0.2,6.6,0,0.0,6.5,66.8,4.9,7.6,7.0,0.4,21.6,2.3,0.1,0.0,0.0,0,0.2,3.4,650.0,28.0,0.0,26.0,11.0,471.0,33.0,9.0,0.0,0.0,0,6.0,50.0,5.22,2.78,1.97,22.8,0.29,0.08,0.09,2.8,2.61,2.89,1.67,17.2,0.23,0.05,0.08,1.66,972.0,有,有
27,2024,377.0,49.4,0.0,0.0,0.0,1.6,0.0,58.5,46.3,0.2,0.0,1.7,1.8,0.3,34.5,551.0,2.0,0.0,1.0,0.0,0.0,409.0,28.4,26.0,0.0,0.0,0.4,3.4,36.8,26.8,1.4,0.0,0.1,0.0,652.0,383.0,0.0,5.0,1.0,67.0,56.1,5.1,2.5,3.2,0.0,36.1,2.6,0.2,0.0,1.6,0,0.0,0.1,68.3,1.2,0.4,0.0,2.1,31.9,2.3,0.1,0.1,11.6,0,0.0,9.8,590.0,24.0,39.0,6.0,0.0,245.0,9.0,2.0,1.0,129.0,0,0.0,176.0,5.23,2.7,1.99,22.3,0.27,0.08,0.08,2.1,5.79,2.89,1.34,20.2,0.25,0.1,0.07,1.11,1060.0,有,有
28,2024,1061.0,68.4,0.0,0.0,0.0,2.0,0.0,42.5,69.9,0.3,5.0,0.0,0.5,1.0,49.0,593.0,0.0,0.0,37.0,13.0,50.0,414.0,33.1,22.2,0.0,2.3,0.1,9.2,68.2,38.0,0.0,0.0,0.4,4.9,866.0,652.0,16.0,88.0,1.0,21.0,27.9,7.2,9.3,0.0,0.7,44.2,0.4,0.4,0.0,6.5,0,0.0,3.0,35.8,2.2,3.3,0.8,2.2,40.3,3.9,0.1,0.2,0.0,0,0.4,2.4,597.0,69.0,92.0,33.0,36.0,232.0,28.0,5.0,1.0,0.0,0,0.0,51.0,5.36,2.71,1.99,23.9,0.28,0.08,0.1,1.5,1.8,2.2,2.2,17.4,0.2,0.05,0.11,1.47,1041.0,有,有
29,2024,174.0,46.6,0.6,0.0,0.7,0.0,1.6,16.7,65.0,0.1,6.7,13.4,0.0,0.0,36.3,381.0,4.0,0.0,20.0,0.0,75.0,490.0,57.7,45.6,1.5,0.5,0.0,0.0,45.6,53.1,0.0,0.0,0.0,1.5,335.0,448.0,12.0,161.0,0.0,0.0,69.3,5.0,5.2,2.0,1.8,20.5,1.7,0.1,0.0,1.1,0,0.0,5.5,56.4,1.3,4.1,0.0,1.4,39.5,1.3,0.3,0.0,4.3,0,0.0,2.4,717.0,42.0,15.0,0.0,30.0,329.0,3.0,3.0,2.0,0.0,0,0.0,114.0,5.12,2.72,2.02,22.9,0.42,0.08,0.1,2.1,5.64,2.46,0.94,21.7,0.25,0.05,0.07,0.7,1073.0,有,無
30,2024,61.0,69.8,0.5,0.0,0.0,0.9,0.0,37.0,56.6,0.6,4.9,6.0,1.9,2.0,32.7,465.0,0.0,0.0,127.0,14.0,80.0,306.0,78.1,59.5,1.9,3.1,0.2,0.0,39.9,37.0,0.9,0.0,0.1,0.0,604.0,430.0,14.0,8.0,0.0,42.0,64.1,0.9,3.2,1.5,0.1,21.5,0.0,0.0,0.0,7.4,0,0.0,0.9,26.1,4.8,6.4,3.0,0.0,32.3,0.0,0.1,0.1,0.6,0,0.1,7.9,329.0,0.0,62.0,82.0,33.0,175.0,11.0,7.0,0.0,15.0,0,0.0,122.0,5.25,2.73,2.04,22.6,0.21,0.09,0.08,2.2,5.15,1.55,1.66,17.6,0.17,0.09,0.04,1.2,1088.0,有,有
31,2024,68.0,43.6,0.2,0.0,0.0,2.0,0.0,25.0,49.7,0.3,0.0,1.1,0.2,0.4,47.3,515.0,1.0,31.0,11.0,27.0,85.0,495.0,60.1,21.0,0.7,0.0,0.0,7.7,50.5,33.5,1.0,3.4,0.4,0.0,308.0,268.0,1.0,38.0,6.0,28.0,68.0,2.2,3.9,9.3,0.4,35.7,0.4,0.3,0.1,0.0,0,0.0,2.6,34.0,8.1,3.8,0.0,3.2,25.7,0.0,0.3,0.0,0.0,0,0.1,3.4,390.0,69.0,65.0,41.0,6.0,273.0,36.0,1.0,2.0,0.0,0,0.0,67.0,5.32,2.78,2.0,21.1,0.33,0.1,0.09,2.0,5.36,2.89,2.2,17.4,0.25,0.07,0.1,1.84,1048.0,有,有
32,2024,1001.0,53.5,0.7,0.0,8.3,1.7,1.2,30.3,38.9,0.2,0.0,0.0,0.4,3.2,23.1,796.0,0.0,16.0,69.0,0.0,37.0,509.0,84.2,32.9,1.5,22.5,0.5,12.3,59.4,59.9,0.0,0.0,0.0,5.0,741.0,553.0,13.0,0.0,0.0,63.0,87.5,0.5,0.7,3.8,0.0,14.7,2.5,0.2,0.0,0.0,0,0.0,13.5,68.8,6.7,3.5,0.0,0.0,27.2,0.0,0.1,0.1,4.9,0,0.0,7.1,669.0,0.0,103.0,0.0,33.0,295.0,0.0,6.0,5.0,0.0,0,0.0,17.0,5.42,2.68,2.11,24.0,0.32,0.1,0.1,1.7,5.79,2.62,1.65,21.3,0.21,0.05,0.09,1.65,930.0,有,有
33,2024,145.0,43.4,0.0,11.0,0.0,2.6,4.2,46.8,64.3,0.4,10.6,0.0,0.0,0.0,46.5,433.0,4.0,92.0,108.0,31.0,4.0,442.0,63.3,35.5,1.5,0.0,0.0,4.9,53.3,42.4,0.0,0.0,0.0,3.5,459.0,509.0,27.0,110.0,5.0,86.0,36.8,2.5,0.0,5.3,1.0,7.5,0.5,0.1,0.0,0.0,0,0.3,0.0,53.3,5.3,3.5,0.4,0.9,5.5,1.1,0.0,0.0,12.7,0,0.0,0.0,523.0,49.0,49.0,23.0,17.0,283.0,35.0,5.0,0.0,3.0,0,2.0,0.0,5.34,2.7,2.04,23.3,0.24,0.06,0.09,2.2,4.74,2.21,2.08,24.7,0.2,0.07,0.07,1.5,1045.0,有,有
